Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track
SLUT ME OUT 2,NLE Choppa,2024-04-12,USWB12401318,2947,25,21488710,2617,7228064,72,148269610,1257935,182529,329169,2503565,97746040,11,812,86,2,55279,18,702427,2091,1623733,116381,1
He Ya Pyar Sajena,TOADI,2022-09-30,SGB502283597,2941,25,3574,3,20,1,148269610,1257935,2605592,7545187,312937612,97746040,28,5953,86,15,237407,17,12735768,7818,3265268,1260,0
Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,USUM72208981,2933,25,151507054,63279,7054692,63,46312741,658950,4105,2019515,19198685,299341436,24,53408,663,4,44675,22,34835337,5706,3265268,641828,1
The Autotrem 1.0 - Single,DJ RICK 013,2023-06-08,QM3DF2224166,2950,25,45821951,10088,13570884,63,30710090,461516,924639,47616112,637314253,97746040,2,5953,86,15,237407,17,12735768,7818,3265268,404939,0
Revenge,XXXTENTACION,2017-05-18,USUYG1142409,2955,25,1356969354,13248,2447818,53,74514608,1012321,182529,26576921,266064027,212,6,5953,86,15,237407,17,12735768,7818,120102744,854584,1
NewJeans 1st EP 'New Jeans',NewJeans,2022-08-01,USA2P2230221,2962,25,384965888,32389,10240290,72,174618135,3601820,107394,93982619,745435770,193192586,18,4715,16,2,2400,13,731316,1227,3265268,378304,0
"Lovely Runner, Pt. 8 (Original Soundtrack)",10CM,2024-05-14,KRA492400665,2968,25,18800716,1180,12952009,73,7398997,168846,182529,26576921,266064027,97746040,12,52,86,15,237407,17,4319,12,3265268,193276,0
Tshwala Bam (feat. S.N.E) [Remix],TitoM,2024-05-12,ZA56E2416068,2957,25,13092462,1818,13699750,75,148269610,1257935,182529,26576921,266064027,97746040,46,1286,86,11,470272,38,218056,194,3265268,468483,0
Halls na Lï¿½ï¿½,Kadu Martins,2023-03-24,BRTS22300004,2969,25,150516046,13034,10626005,63,146315225,673901,288400,23319532,269119367,225214,6,5953,86,19,847205,5,12735768,7818,3265268,854584,0
21 Reasons (feat. Ella Henderson),Nathan Dawe,2022-04-29,GBAHS2200261,2964,25,305830522,49204,75701853,70,33342986,195870,9907,3779521,88167309,2477288175,88,130577,86,44,784381,30,136071,182,3265268,1765444,0
YESHUA (dance cruise) - Single,Dj Bentoa,2023-04-22,QZHNB2325204,2975,25,4546579,2741,77751,3,2359297,31587,1500000,12810334,242636617,97746040,2,48,86,15,237407,17,12735768,7818,3265268,1189899,0
Zaalim,Badshah,2024-02-24,INS182400465,2966,25,7682285,243,651177,67,63874916,507287,182529,26576921,266064027,308909728,28,10,86,15,237407,11,12735768,7818,3265268,26541,0
Aa,Roach Killa,2023-09-28,GBMW42301521,2963,25,22552299,1850,2721792,67,136381379,1340784,182529,26576921,266064027,946681826,28,678,86,15,237407,5,12735768,7818,3265268,180207,0
Rojo,J Balvin,2020-02-27,USUM72001732,2970,25,606603985,69772,18110265,68,411037239,3771065,220606,11033545,118448922,44214850,117,27391,470,48,398594,16,33865711,7931,3265268,1148458,0
Wonder,Shawn Mendes,2020-10-02,USUM72018522,2965,25,595220757,70162,30030265,63,147218521,3004385,240319,98444287,783096025,37319723,123,150637,207,28,959405,46,37981648,14822,3265268,1620195,0
Search Bar,NANI,2023-03-17,GBMJG2304014,2971,25,6610,15,122,67,291003266,1151687,182529,26576921,266064027,34,28,4,86,15,237407,17,12735768,7818,3265268,11,0
Muï¿½ï¿½ekita (with El Alfa & JT from City Gi,Kali Uchis,2023-08-04,USUM72311229,2967,25,96105220,17341,10481728,60,40245884,594327,253268,62889421,531122265,82583,16,2188,69,16,179869,44,1583340,1130,742848,443624,1
"Hurry Up, We're Dreaming",M83,2011-01-01,GB55H1100002,2954,25,1081517243,260318,54789811,72,82397805,1125466,198377,93354945,1010922723,1793433,171,76348,154,101,813923,65,593332165,435775,3265268,14591951,0
What You See Is What You Get,Luke Combs,2019-11-08,US6XF1800183,2953,25,356603747,49050,9648670,69,177522757,963031,230846,40924132,290236180,241022862,22,191240,30,3,5860,17,226949796,90020,3265268,1161234,0
42,Sech,2021-04-15,QM9WM2100010,2952,25,266525796,49242,13991180,57,195376978,1221210,1345600,137030763,1268200579,8141977,37,12713,23,8,36046,17,19618476,3164,3265268,647891,0
Tee's Coney Island,Tee Grizzley,2023-11-02,USAT22311000,2973,25,20520983,65,29213,67,148269610,1257935,182529,26576921,266064027,97746040,1,130720,86,15,237407,17,12735768,7818,3265268,854584,0
drunk text,Henry Moodie,2023-01-27,GBARL2202513,2961,25,238841927,21346,34578100,81,116840454,948904,20779,4155809,75170850,472723306,25,10016,3,14,191813,16,156080,275,3265268,705603,0
MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,2023-08-10,USUG12305258,2959,25,192439879,16960,28438488,73,53961405,347263,84218,8041478,134541936,97746040,14,5953,86,13,2464704,12,9220102,1150,3265268,213623,1
Ginza,J Balvin,2015-06-23,MXUM71501907,2974,25,521328627,64734,21473531,70,1067816466,5198462,33185,18603137,122727381,257780993,125,18715,519,54,929374,59,221490314,134205,3265268,8748575,0
Hari Hari Odhani,Pawan Singh,2022-11-04,INS7A2268218,2960,25,35308201,954,297281,58,344702201,2125668,3992,67043,825399,97746040,28,5953,86,15,237407,17,12735768,7818,3265268,854584,0
